status,issue,best
Satisfactory,validation-130,7
Satisfactory,validation-284,4
Satisfactory,validation-363,2
Satisfactory,validation-159,2
Satisfactory,validation-101,0
Satisfactory,validation-15,0
Satisfactory,validation-257,0
Satisfactory,validation-285,0
Satisfactory,validation-303,0
Satisfactory,validation-330,0
Satisfactory,validation-375,0
Satisfactory,validation-85,0
Unsatisfactory,validation-262,0
Unsatisfactory,findings-14,0
Unsatisfactory,validation-110,0
Unsatisfactory,validation-116,0
Unsatisfactory,validation-121,0
Unsatisfactory,validation-134,0
Unsatisfactory,validation-141,0
Unsatisfactory,validation-156,0
Unsatisfactory,validation-173,0
Unsatisfactory,validation-174,0
Unsatisfactory,validation-177,0
Unsatisfactory,validation-178,0
Unsatisfactory,validation-193,0
Unsatisfactory,validation-2,0
Unsatisfactory,validation-200,0
Unsatisfactory,validation-211,0
Unsatisfactory,validation-212,0
Unsatisfactory,validation-221,0
Unsatisfactory,validation-243,0
Unsatisfactory,validation-254,0
Unsatisfactory,validation-27,0
Unsatisfactory,validation-280,0
Unsatisfactory,validation-304,0
Unsatisfactory,validation-306,0
Unsatisfactory,validation-308,0
Unsatisfactory,validation-312,0
Unsatisfactory,validation-326,0
Unsatisfactory,validation-328,0
Unsatisfactory,validation-344,0
Unsatisfactory,validation-368,0
Unsatisfactory,validation-372,0
Unsatisfactory,validation-385,0
Unsatisfactory,validation-6,0
Unsatisfactory,validation-65,0
Unsatisfactory,validation-7,0
Unsatisfactory,validation-78,0
Unsatisfactory,validation-88,0
Unsatisfactory,validation-95,0